,uri,tituloOriginal,tituloExtraido,codigo
42,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-756,Challenges of Linking Digital Heritage Scientific Data with Scholarly Research: From Navigation to Politics,Challenges of Linking Digital Heritage Scientific Data with Scholarly Research: From Navigation to Politics,61da8b70dc8ac2aaf0ecd4f97898bac44a39a46f
43,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-753,Propp Revisited: Integration of Linguistic Markup into Structured Content Descriptors of Tales,Propp Revisited: Integration of Linguistic Markup into Structured Content Descriptors of Tales,e3bc52399ed4311a6999675ecb1fde96137a0701
44,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-796,A Platform for Cultural Information Visualization Using Schematic Expressions of Cube,A Platform for Cultural Information Visualization Using Schematic Expressions of Cube,3c25757ea01f47a03eb47a2e015da5e8f93c2eb3
45,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-780,An Open Source Toolkit for Flexible Browsing of Historical Maps on the Web,An Open Source Toolkit for Flexible Browsing of Historical Maps on the Web,ed45e94e542fefb0887813e1d81737b52926cd5a
46,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-830,Character Encoding and Digital Humanities in 2010 – An Insider's View,Character Encoding and Digital Humanities in 2010 - An Insider's View,40d00e3a7a9d951f1e22fd0081c6b942ba261054
47,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-820,Supporting User Search for Discovering Collections of Interest,Supporting User Search for Discovering Collections of Interest,5d4b2b166f69f293c641b461d8e6d99d10fdca15
48,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-853,The Importance of Pedagogy: Towards a Companion to Teaching Digital Humanities,The Importance of Pedagogy: Towards a Companion to Teaching Digital Humanities,f1d8c8d6cff805e32f03df72ce32f664770dc9f3
49,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/session/ab-890,"Understanding the 'Capacity' of the Digital Humanities: The Canadian Experience, Generalised","Understanding the 'Capacity' of the Digital Humanities: The Canadian Experience, Generalised",cd3eb8d9952a7dd1b4c145ca7a686c4fa19f6e2a
50,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-885,A Day in the Life of Digital Humanities,A Day in the Life of Digital Humanities,d9a9851eaef0f4a3fa38306ec975791fee824c26
51,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-708,Extracting domain knowledge from tables of contents,Extracting domain knowledge from tables of contents,2e8a41313ff27da91a6f5f2a93532c76a0b18995
52,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-697,"Letters, Ideas and Information Technology: Using digital corpora of letters to disclose the circulation of knowledge in the 17th century","Letters, Ideas and Information Technology: Using digital corpora of letters to disclose the circulation of knowledge in the 17th century",3bf778ce543f1a4cc3e82149bd58df47263a6b00
53,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-863,Building Dynamic Image Collections from Internet,Building Dynamic Image Collections from Internet,c7be4a0a67629a0f2ae47407a4e28ddb359ccc26
54,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-765,Digitizing Ephemera and Parsing an 1862 European Itinerary,Digitizing Ephemera and Parsing an 1862 European Itinerary,7ec788bc4d8132bbaa170eb9c78685c0cb8d3756
55,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-684,Objective Detection of Plautus' Rules by Computer Support,Objective Detection of Plautus' Rules by Computer Support,029b1eea4c420a26cc8d4a361b8e56da53ffe0d8
56,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-743,Towards Hermeneutic Markup: An architectural outline,Towards Hermeneutic Markup: An architectural outline,639356fa96b721b0b0e8d2b8991bbd9a15fbd70d
57,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-804,"Diple, modular methodology and tools for heterogeneous TEI corpora","Diple, modular methodology and tools for heterogeneous TEI corpora",b69c134f9a716d758593f2a0dbf870c43107d7c6
58,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-813,Discursive Metadata and Controlled Vocabularies,Discursive Metadata and Controlled Vocabularies,bf277973adcb82c81a6dde6c03d09c527e316f2d
59,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-777,Preparing the DARIAH e-Infrastructure,Preparing the DARIAH e-Infrastructure,7f8e4a00853527db1de4528a68067cca447ac4e9
60,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-696,Digital Mediation of Modernist Literary Texts and their Documents,Digital Mediation of Modernist Literary Texts and their Documents,496e4f4b73a344a93c7f18204d4ec046d4db2910
61,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-807,Unfolding History with the Help of the GIS Technology: a Scholar-Librarian Quest for Creating Digital Collections,Unfolding History with the Help of the GIS Technology: a Scholar-Librarian Quest for Creating Digital Collections,85243a0f96b7c8d5093fcea6c857081612352e9a
62,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-876,Xiakou: A Case Study in Digital Ethnography,Xiakou: A Case Study in Digital Ethnography,6b5786634cfa7258e009deb10c563de64c7fef86
63,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-670,From Text to Image to Analysis: Visualization of Chinese Buddhist Canon,From Text to Image to Analysis: Visualization of Chinese Buddhist Canon,1c74d242ad666d83ce5f1a708071e9af2994072a
64,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-669,Distant Reading and Mapping Genre Space via Conjecture-based Distance Measures,Distant Reading and Mapping Genre Space via Conjecture-based Distance Measures,bf0733282ed0bd58380f2b79af278f02793f1eb1
65,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-829,Citation Rhetoric Examined,Citation Rhetoric Examined,5d01156f5fbd19707d168d74e84c3aff79df83ab
66,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-855,Literary Theory and Theatre Practice: A Comparative Study of Watching the Script and the Simulated Environment for Theatre,Literary Theory and Theatre Practice: A Comparative Study of Watching the Script and the Simulated Environment for Theatre,3369c1e7a7bee8eff95f6180ad72b7b8d7244497
67,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-598,"National Digital Library of Finland: Putting the Resources of Culture, Science and Teaching at Everyone's Fingertips","National Digital Library of Finland: Putting the Resources of Culture, Science and Teaching at Everyone's Fingertips",895056e1f9ef5b128dcf2f026e8d1467511c8906
68,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-797,Generation of Emotional Dance Motion for Virtual Dance Collaboration System,Generation of Emotional Dance Motion for Virtual Dance Collaboration System,cb088fc55b307a5d02f01285adac9a6e5e8b8f6e
69,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-676,"GIS, Texts and Images: New approaches to landscape appreciation in the Lake District","GIS, Texts and Images: New approaches to landscape appreciation in the Lake District",9931e42b09a3b42528e1a89326c659083c80e01d
70,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-799,Text-Image linking of Japanese historical documents: Sharing and exchanging data by using text-embedded image file,Text-Image linking of Japanese historical documents: Sharing and exchanging data by using text-embedded image file,0eca8d01f1360e4dde17deef037ce4ac270784ff
71,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-620,Pointless Babble or Enabled Backchannel: Conference Use of Twitter by Digital Humanists,Pointless Babble or Enabled Backchannel: Conference Use of Twitter by Digital Humanists,fc2cff3c029af2a8ee8dbab3ce11093bc475e157
72,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/art/ab-007,Vanishing Point(s) and Communion,Vanishing Point(s) and Communion,de551409d5e4d484ca0e8157f823252df86caf39
73,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-665,"Inventing the Map:"" from 19th-century Pedagogical Practice to 21st-century Geospatial Scholarship""","""Inventing the Map: "" from 19th-century Pedagogical Practice to 21st-century Geospatial Scholarship",bc811529eccf2779a82cae44768f2e99989f49ea
74,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-819,Critical Editing of Music in the Digital Medium: an Experiment in MEI,Critical Editing of Music in the Digital Medium: an Experiment in MEI,81d0d37936d452066b61f873ffcd6c8b5f5d42b3
75,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-616,TEI P5 as a Text Encoding Standard for Multilevel Corpus Annotation,TEI P5 as a Text Encoding Standard for Multilevel Corpus Annotation,6331857a0f61826c80f12b750d39c61165667a86
76,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-860,The Open Annotation Collaboration: A Data Model to Support Sharing and Interoperability of Scholarly Annotations,The Open Annotation Collaboration: A Data Model to Support Sharing and Interoperability of Scholarly Annotations,c606ff855a6fc1655c84f4370a03e8b5373250ba
77,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-760,Semantic Cartography: Using RDF/OWL to Build Adaptable Tools for Text Exploration,Semantic Cartography: Using RDF/OWL to Build Adaptable Tools for Text Exploration,56802700a9417ed4112ba4596d3f85a2ec86ddc2
78,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-778,Queste del Saint Graal: Textometry Platform on the Service of a Scholarly Edition,Queste del Saint Graal: Textometry Platform on the Service of a Scholarly Edition,de56fbb910666ec04e009901ebf53d64df1f7984
79,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-589,The TEI's Extramural Journal Project: Exploring New Digital Environments and Defining a New Genre in Academic Publishing,The TEI's Extramural Journal Project: Exploring New Digital Environments and Defining a New Genre in Academic Publishing,391f88d82bb6b7546a6bc3c24e43421bcc6acf1e
80,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-783,Quelques réflexions sur l’effet propédeutique des catalogues des collections des musées en ligne,Quelques réflexions sur l'effet propédeutique des catalogues des collections des musées en ligne,84a842ef575023b14c0b66edfad61925a06ed80e
81,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-767,"Contexts, Narratives, and Interactive Visual Analysis of Names in the Japanese Hyohanki Diary","Contexts, Narratives, and Interactive Visual Analysis of Names in the Japanese Hyohanki Diary",2567afd5a84e8eff5b94023d502c70dd0da09c74
82,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-658,Teasing Out Authorship and Style with T-tests and Zeta,Teasing Out Authorship and Style with T-tests and Zeta,26a4f91f0a7d15f090d89f2531ed08516f67bba8
83,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-710,e-Vocative Cases: Digitality and Direct Address,e-Vocative Cases: Digitality and Direct Address,97ad86ea40b56f90fc9570677fe5a61b9f2fe4e0
84,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-766,Towards a Computational Narration of Inner World,Towards a Computational Narration of Inner World,c07feb9953bdbe8d3bd80b65cbdd09d78e0fed28
85,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-722,The Graceful Degradation Survey: Managing Digital Humanities Projects Through Times of Transition and Decline,The Graceful Degradation Survey: Managing Digital Humanities Projects Through Times of Transition and Decline,1531c26db56f7ad95d15d58e670aeefade6af40c
86,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-844,Joanna Baillie’s Witchcraft: from Hypermedia Edition to Resonant Responses,Joanna Baillie's Witchcraft: from Hypermedia Edition to Resonant Responses,3fb586bdcbda4a2274190a0d5d90791aa48b3e45
87,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-873,“It’s Volatile”: Standards-Based Research & Research-Based Standards Development,"""It's Volatile"": Standards-Based Research & Research-Based Standards Development",f966395c40d8bd847398dab91dec85466dc8fa11
88,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-678,"Any more Bids?"": Automatic Processing and Segmentation of Auction Catalogs""","""Any more Bids?"": Automatic Processing and Segmentation of Auction Catalogs",905226a249e440846f36cd4bcabf381db2ca42e7
89,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-880,Towards Digital Built Environment Studies: An Interface Design for the Study of Medieval Delhi,Towards Digital Built Environment Studies: An Interface Design for the Study of Medieval Delhi,eaacfa6148d166ec9ddc16c5172e9ca0cd570195
90,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-827,"Dingler-Online – The Digitized Polytechnisches Journal"" on Goobi Digitization Suite""","Dingler-Online - The Digitized ""Polytechnisches Journal"" on Goobi Digitization Suite",c648ff444a4b973a8467ccd88a8c1512afde6f58
91,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-626,"The Specimen Case and the Garden: Preserving Complex Digital Objects, Sustaining Digital Projects","The Specimen Case and the Garden: Preserving Complex Digital Objects, Sustaining Digital Projects",159d75e0b47806aa2f4d3b3bed5bba03dc35bd9a
92,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-814,Digital Libraries of Scholarly Editions,Digital Libraries of Scholarly Editions,3c5535a0dd646bc7e8a07af7366f7969c8c1dc35
93,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-691,Knowledge and Conservation - Creating the Digital Library of New Hispanic Thought,Knowledge and Conservation - Creating the Digital Library of New Hispanic Thought,59d65487aa1816fce78866a392c72c60d707372e
94,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-601,Modes of Seeing: Case Studies on the Use of Digitized Photographic Archives,Modes of Seeing: Case Studies on the Use of Digitized Photographic Archives,85f8439fb65c3223564d972a21323a9a7cfc5e3c
95,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/paper/ab-867,Using Wikipedia to Enable Entity Retrieval and Visualization Concerning the Intellectual/Cultural Heritage,Using Wikipedia to Enable Entity Retrieval and Visualization Concerning the Intellectual/Cultural Heritage,d9d1aa98cf79c222a9be8a16df6a433b8b165e90
96,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-633,The MLCD Overlap Corpus (MOC),The MLCD Overlap Corpus (MOC),4f38a81c151578d1358a4953047ba477b730fdaf
97,https://w3id.org/scholarlydata/inproceedings/dh2010/abstracts/poster/ab-633,The MLCD Overlap Corpus (MOC),The MLCD Overlap Corpus (MOC),f7e60df72a5035f578a95ef4f7bc9d3576df0aed
